@relation luster3
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.2,1,2.5,2.5128
0.2,1,3.5,2.5128
0.2,1,5,2.5112
0.2,1,6,2.5104
0.2,1,7.3,2.5096
0.2,1,8,2.5088
0.2,1,10,2.508
0.2,1,12.5,2.5072
0.2,1,15,2.5064
0.2,2,2.5,2.5128
0.2,2,3.5,2.5088
0.2,2,5,2.504
0.2,2,6,2.5008
0.2,2,7.3,2.4984
0.2,2,8,2.4968
0.2,2,10,2.4936
0.2,2,12.5,2.4904
0.2,2,15,2.4904
0.2,3,2.5,2.5016
0.2,3,3.5,2.4936
0.2,3,5,2.488
0.2,3,6,2.48
0.2,3,7.3,2.4744
0.2,3,8,2.4712
0.2,3,10,2.4672
0.2,3,12.5,2.4632
0.2,3,15,2.4632
0.2,3,17.5,2.4632
0.2,3,18.5,2.464
0.2,4,2.5,2.4728
0.2,4,3.5,2.4616
0.2,4,5,2.4416
0.2,4,6,2.4384
0.2,4,7.3,2.436
0.2,4,8,2.4328
0.2,4,10,2.4272
0.2,4,12.5,2.4232
0.2,4,15,2.424
0.2,4,17.5,2.4256
0.2,4,18.5,2.428
0.2,4,20,2.4296
0.2,5,2.5,2.4232
0.2,5,3.5,2.4104
0.2,5,5,2.396
0.2,5,6,2.3968
0.2,5,7.3,2.3976
0.2,5,8,2.3952
0.2,5,10,2.3744
0.2,5,12.5,2.372
0.2,5,15,2.3768
0.2,5,17.5,2.3776
0.2,5,18.5,2.3792
0.2,5,20,2.384
0.2,5,22.5,2.392
