@relation luster2
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.3,9,3.75,2.2113
0.3,9,5.25,2.1966
0.3,9,7.5,2.1812
0.3,9,9,2.1742
0.3,9,10.95,2.1679
0.3,9,12,2.1658
0.3,9,15,2.163
0.3,9,18.75,2.1644
0.3,9,22.5,2.1651
0.3,9,26.25,2.1665
0.3,9,27.75,2.1679
0.3,9,30,2.184
0.3,9,33.75,2.2134
0.3,10.5,3.75,2.1217
0.3,10.5,5.25,2.1077
0.3,10.5,7.5,2.0951
0.3,10.5,9,2.0902
0.3,10.5,10.95,2.086
0.3,10.5,12,2.0853
0.3,10.5,15,2.0867
0.3,10.5,18.75,2.0937
0.3,10.5,22.5,2.107
0.3,10.5,26.25,2.1266
0.3,10.5,27.75,2.1287
0.3,10.5,30,2.1371
0.3,10.5,33.75,2.191
0.3,11.25,3.75,2.0692
0.3,11.25,5.25,2.0566
0.3,11.25,7.5,2.0461
0.3,11.25,9,2.0419
0.3,11.25,10.95,2.0405
0.3,11.25,12,2.0405
0.3,11.25,15,2.044
0.3,11.25,18.75,2.0538
0.3,11.25,22.5,2.0664
0.3,11.25,26.25,2.0825
0.3,11.25,27.75,2.0951
0.3,11.25,30,2.107
0.3,11.25,33.75,2.1287
0.3,12,3.75,2.0125
0.3,12,5.25,2.0013
0.3,12,7.5,1.9929
0.3,12,9,1.9908
0.3,12,10.95,1.9908
0.3,12,12,1.9922
0.3,12,15,1.9985
0.3,12,18.75,2.0027
0.3,12,22.5,2.023
0.3,12,26.25,2.0454
0.3,12,27.75,2.0615
0.3,12,30,2.072
0.3,12,33.75,2.086
0.3,12.75,3.75,1.9509
0.3,12.75,5.25,1.9418
0.3,12.75,7.5,1.9362
0.3,12.75,9,1.9355
0.3,12.75,10.95,1.9383
0.3,12.75,12,1.9404
0.3,12.75,15,1.9502
0.3,12.75,18.75,1.9677
0.3,12.75,22.5,2.107
0.3,12.75,26.25,2.1315
0.3,12.75,27.75,2.1637
0.3,12.75,30,2.184
0.3,12.75,33.75,2.1917
0.3,13.5,3.75,1.8984
0.3,13.5,5.25,1.9117
0.3,13.5,7.5,1.9271
0.3,13.5,9,1.9376
0.3,13.5,10.95,1.9516
0.3,13.5,12,1.96
0.3,13.5,15,1.981
0.3,13.5,18.75,2.0069
0.3,13.5,22.5,2.0314
0.3,13.5,26.25,2.044
0.3,13.5,27.75,2.065
0.3,13.5,30,2.072
0.3,13.5,33.75,2.114
0.3,15,3.75,2.0076
0.3,15,5.25,1.9824
0.3,15,7.5,2.0321
0.3,15,9,2.0419
0.3,15,10.95,2.0545
0.3,15,12,2.0608
0.3,15,15,2.0797
0.3,15,18.75,2.1028
0.3,15,22.5,2.1028
0.3,15,26.25,2.1063
0.3,15,27.75,2.149
0.3,15,30,2.163
0.3,15,33.75,2.17
