@relation luster1
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.5,2.5,6.25,2.1745
0.5,2.5,8.75,2.1725
0.5,2.5,12.5,2.1705
0.5,2.5,15,2.1695
0.5,2.5,18.25,2.169
0.5,2.5,20,2.1685
0.5,2.5,25,2.168
0.5,2.5,31.25,2.168
0.5,5,6.25,2.175
0.5,5,8.75,2.169
0.5,5,12.5,2.1635
0.5,5,15,2.161
0.5,5,18.25,2.159
0.5,5,20,2.1585
0.5,5,25,2.157
0.5,5,31.25,2.1565
0.5,7.5,6.25,2.164
0.5,7.5,8.75,2.1545
0.5,7.5,12.5,2.146
0.5,7.5,15,2.1425
0.5,7.5,18.25,2.1395
0.5,7.5,20,2.1385
0.5,7.5,25,2.137
0.5,7.5,31.25,2.1375
0.6,3,7.5,2.128
0.6,3,10.5,2.126
0.6,3,15,2.1244
0.6,3,18,2.124
0.6,3,21.9,2.1236
0.6,3,24,2.1232
0.6,3,30,2.1232
0.6,6,7.5,2.1276
0.6,6,10.5,2.124
0.6,6,15,2.1192
0.6,6,18,2.1176
0.6,6,21.9,2.1164
0.6,6,24,2.1156
0.6,6,30,2.1152
