@relation luster4
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.5,2.5,37.5,2.168
0.5,2.5,43.75,2.168
0.5,2.5,46.25,2.1685
0.5,2.5,50,2.1685
0.5,2.5,56.25,2.169
0.5,5,37.5,2.1575
0.5,5,43.75,2.1585
0.5,5,46.25,2.159
0.5,5,50,2.1605
0.5,5,62.5,2.164
0.5,7.5,37.5,2.14
0.5,7.5,43.75,2.1435
0.5,7.5,46.25,2.145
0.5,7.5,50,2.1425
0.5,7.5,62.5,2.1555
0.6,3,37.5,2.1228
0.6,3,45,2.1228
0.6,3,52.5,2.1228
0.6,3,55.5,2.1232
0.6,3,60,2.1236
0.6,6,37.5,2.1152
0.6,6,45,2.116
0.6,6,52.5,2.1172
0.6,6,55.5,2.1184
0.6,6,60,2.1188
