@relation luster1
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.5,2.5,6.25,2.1745
0.5,2.5,8.75,2.1725
0.5,2.5,12.5,2.1705
0.5,2.5,15,2.1695
0.5,2.5,18.25,2.169
0.5,2.5,20,2.1685
0.5,2.5,25,2.168
0.5,2.5,31.25,2.168
0.5,2.5,37.5,2.168
0.5,2.5,43.75,2.168
0.5,2.5,46.25,2.1685
0.5,2.5,50,2.1685
0.5,2.5,56.25,2.169
0.5,5,6.25,2.175
0.5,5,8.75,2.169
0.5,5,12.5,2.1635
0.5,5,15,2.161
0.5,5,18.25,2.159
0.5,5,20,2.1585
0.5,5,25,2.157
0.5,5,31.25,2.1565
0.5,5,37.5,2.1575
0.5,5,43.75,2.1585
0.5,5,46.25,2.159
0.5,5,50,2.1605
0.5,5,62.5,2.164
0.5,7.5,6.25,2.164
0.5,7.5,8.75,2.1545
0.5,7.5,12.5,2.146
0.5,7.5,15,2.1425
0.5,7.5,18.25,2.1395
0.5,7.5,20,2.1385
0.5,7.5,25,2.137
0.5,7.5,31.25,2.1375
0.5,7.5,37.5,2.14
0.5,7.5,43.75,2.1435
0.5,7.5,46.25,2.145
0.5,7.5,50,2.1425
0.5,7.5,62.5,2.1555
0.6,3,7.5,2.128
0.6,3,10.5,2.126
0.6,3,15,2.1244
0.6,3,18,2.124
0.6,3,21.9,2.1236
0.6,3,24,2.1232
0.6,3,30,2.1232
0.6,3,37.5,2.1228
0.6,3,45,2.1228
0.6,3,52.5,2.1228
0.6,3,55.5,2.1232
0.6,3,60,2.1236
0.6,6,7.5,2.1276
0.6,6,10.5,2.124
0.6,6,15,2.1192
0.6,6,18,2.1176
0.6,6,21.9,2.1164
0.6,6,24,2.1156
0.6,6,30,2.1152
0.6,6,37.5,2.1152
0.6,6,45,2.116
0.6,6,52.5,2.1172
0.6,6,55.5,2.1184
0.6,6,60,2.1188
