@relation luster2
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.3,9,3.75,2.2113
0.3,9,5.25,2.1966
0.3,9,7.5,2.1812
0.3,9,9,2.1742
0.3,9,10.95,2.1679
0.3,9,12,2.1658
0.3,9,15,2.163
0.3,9,18.75,2.1644
0.3,9,22.5,2.1651
0.3,9,26.25,2.1665
0.3,9,27.75,2.1679
0.3,9,30,2.184
0.3,9,33.75,2.2134
0.3,10.5,3.75,2.1217
0.3,10.5,5.25,2.1077
0.3,10.5,7.5,2.0951
0.3,10.5,9,2.0902
0.3,10.5,10.95,2.086
0.3,10.5,12,2.0853
0.3,10.5,15,2.0867
0.3,10.5,18.75,2.0937
0.3,10.5,22.5,2.107
0.3,10.5,26.25,2.1266
0.3,10.5,27.75,2.1287
0.3,10.5,30,2.1371
0.3,10.5,33.75,2.191
0.3,11.25,3.75,2.0692
0.3,11.25,5.25,2.0566
0.3,11.25,7.5,2.0461
0.3,11.25,9,2.0419
0.3,11.25,10.95,2.0405
0.3,11.25,12,2.0405
0.3,11.25,15,2.044
0.3,11.25,18.75,2.0538
0.3,11.25,22.5,2.0664
0.3,11.25,26.25,2.0825
0.3,11.25,27.75,2.0951
0.3,11.25,30,2.107
0.3,11.25,33.75,2.1287
0.3,12,3.75,2.0125
0.3,12,5.25,2.0013
0.3,12,7.5,1.9929
0.3,12,9,1.9908
0.3,12,10.95,1.9908
0.3,12,12,1.9922
0.3,12,15,1.9985
0.3,12,18.75,2.0027
0.3,12,22.5,2.023
0.3,12,26.25,2.0454
0.3,12,27.75,2.0615
0.3,12,30,2.072
0.3,12,33.75,2.086
0.3,12.75,3.75,1.9509
0.3,12.75,5.25,1.9418
0.3,12.75,7.5,1.9362
0.3,12.75,9,1.9355
0.3,12.75,10.95,1.9383
0.3,12.75,12,1.9404
0.3,12.75,15,1.9502
0.3,12.75,18.75,1.9677
0.3,12.75,22.5,2.107
0.3,12.75,26.25,2.1315
0.3,12.75,27.75,2.1637
0.3,12.75,30,2.184
0.3,12.75,33.75,2.1917
0.3,13.5,3.75,1.8984
0.3,13.5,5.25,1.9117
0.3,13.5,7.5,1.9271
0.3,13.5,9,1.9376
0.3,13.5,10.95,1.9516
0.3,13.5,12,1.96
0.3,13.5,15,1.981
0.3,13.5,18.75,2.0069
0.3,13.5,22.5,2.0314
0.3,13.5,26.25,2.044
0.3,13.5,27.75,2.065
0.3,13.5,30,2.072
0.3,13.5,33.75,2.114
0.3,15,3.75,2.0076
0.3,15,5.25,1.9824
0.3,15,7.5,2.0321
0.3,15,9,2.0419
0.3,15,10.95,2.0545
0.3,15,12,2.0608
0.3,15,15,2.0797
0.3,15,18.75,2.1028
0.3,15,22.5,2.1028
0.3,15,26.25,2.1063
0.3,15,27.75,2.149
0.3,15,30,2.163
0.3,15,33.75,2.17
0.2,1,2.5,2.5128
0.2,1,3.5,2.5128
0.2,1,5,2.5112
0.2,1,6,2.5104
0.2,1,7.3,2.5096
0.2,1,8,2.5088
0.2,1,10,2.508
0.2,1,12.5,2.5072
0.2,1,15,2.5064
0.2,1,17.5,2.5064
0.2,1,18.5,2.5072
0.2,1,20,2.5072
0.2,1,22.5,2.5072
0.2,1,27.5,2.5072
0.2,1,30,2.508
0.2,1,32.5,2.508
0.2,1,35,2.5088
0.2,1,37.5,2.5088
0.2,1,40,2.5096
0.2,2,2.5,2.5128
0.2,2,3.5,2.5088
0.2,2,5,2.504
0.2,2,6,2.5008
0.2,2,7.3,2.4984
0.2,2,8,2.4968
0.2,2,10,2.4936
0.2,2,12.5,2.4904
0.2,2,15,2.4904
0.2,2,17.5,2.4904
0.2,2,18.5,2.4912
0.2,2,20,2.4912
0.2,2,22.5,2.4928
0.2,2,27.5,2.4944
0.2,2,30,2.4952
0.2,2,32.5,2.496
0.2,2,35,2.4976
0.2,3,2.5,2.5016
0.2,3,3.5,2.4936
0.2,3,5,2.488
0.2,3,6,2.48
0.2,3,7.3,2.4744
0.2,3,8,2.4712
0.2,3,10,2.4672
0.2,3,12.5,2.4632
0.2,3,15,2.4632
0.2,3,17.5,2.4632
0.2,3,18.5,2.464
0.2,3,20,2.4648
0.2,3,22.5,2.4688
0.2,3,27.5,2.472
0.2,3,30,2.4744
0.2,3,32.5,2.4776
0.2,4,2.5,2.4728
0.2,4,3.5,2.4616
0.2,4,5,2.4416
0.2,4,6,2.4384
0.2,4,7.3,2.436
0.2,4,8,2.4328
0.2,4,10,2.4272
0.2,4,12.5,2.4232
0.2,4,15,2.424
0.2,4,17.5,2.4256
0.2,4,18.5,2.428
0.2,4,20,2.4296
0.2,4,22.5,2.4336
0.2,4,27.5,2.4432
0.2,5,2.5,2.4232
0.2,5,3.5,2.4104
0.2,5,5,2.396
0.2,5,6,2.3968
0.2,5,7.3,2.3976
0.2,5,8,2.3952
0.2,5,10,2.3744
0.2,5,12.5,2.372
0.2,5,15,2.3768
0.2,5,17.5,2.3776
0.2,5,18.5,2.3792
0.2,5,20,2.384
0.2,5,22.5,2.392
